quiz_detail_id,category,year level,question,answer_1,answer_2,answer_3,answer_4,correct_answer,is_active,difficulty_level
1,General Mathematics,Senior (Grade 11-12),"A potter can make jars at a cost of 165 pesos each. If the potter sells the jar for x pesos each, it is estimated that 250 - 3x jars will be sold per month. Express the total revenue, R(x), of selling jars per month as a function of x.",R(x) = 250 - 3x^2,R(x) = 165x,"R(x) = 41,250 - 495x",R(x) = 250x - 3x^2,R(x) = 250x - 3x^2,1,Difficult
2,General Mathematics,Senior (Grade 11-12),"A toy maker can make 30 toys in a month at a cost of x pesos each. The toy maker sells the toys for 3x + 1 pesos each. Suppose, he can sell all the toys he made, express the total profit, P(x), of selling toys per month as a function of x.",P(x) = 3x^2 + x,P(x) = 90x + 30,P(x) = 60x + 30,P(x) = 27x - 1,P(x) = 60x + 30,1,Difficult
3,General Mathematics,Senior (Grade 11-12),Charles wishes to make open boxes from a square piece of cardboard with a side that measures 10 inches by cutting equal squares from the four corners and turning the sides. Let x inches be the length of the side of the square to be cut out. Express the number of cubic inches in the volume of the box as the function of x.,V(x) = x^3 - 20x^2 + 100x,V(x) = 100x^3,V(x) = x^3 - 100x,V(x) = 4x^3 - 40x^2 + 100x,V(x) = 4x^3 - 40x^2 + 100x,1,Difficult
4,General Mathematics,Senior (Grade 11-12),"A rectangular lot is to be enclosed with a 200 meter fence. Let x meters be the length of the field, express the number of square meters in the area of the field as a function of x.",A(x) = 100x - x^2,A(x) = 200x^2,A(x) = 200 - x^2,A(x) = 100 - x^2,A(x) = 100x - x^2,1,Difficult
5,General Mathematics,Senior (Grade 11-12),"A rectangular beach resort is to be fenced using 240 meters of fencing materials, and no fence is required along the shoreline. Let x meters be the length of each side perpendicular to the shoreline, express the number of square meter in the area of the beach resort as a function of x.",A(x) = 240x - 2x^2,A(x) = 120 - x^2,A(x) = 240 - x^2,A(x) = 120x - x^2,A(x) = 240x - 2x^2,1,Difficult
6,General Mathematics,Senior (Grade 11-12),"A rectangular lot is to be enclosed using a fence worth PHP 18,000. The shorter sides cost PHP 60.00 per running foot, and the longer sides cost PHP 80.00 per running foot. Let x be the length of the shorter side, express the number of square feet of the area of the plot as a function of x.",A(x) = (225/2)x - (3/4)x^3,A(x) = (225/2)x - (3/4)x^2,A(x) = (3/4)x - 112x^2,"A(x) = 1,800x - 24x^2",A(x) = (225/2)x - (3/4)x^2,1,Difficult
7,General Mathematics,Senior (Grade 11-12),"The base salary of a worker is 62 pesos per hour for the first eight hours. If the worker works overtime, the additional salary is 150% of the base pay per hour. Which of the following shows the function of the worker's salary if he works x hours per day?",images/quizzes/GMathQSH001_07_opD.png,images/quizzes/GMathQSH001_07_opB.png,images/quizzes/GMathQSH001_07_opA.png,images/quizzes/GMathQSH001_07_opC.png,images/quizzes/GMathQSH001_07_opA.png,0,Difficult
8,General Mathematics,Senior (Grade 11-12),"A souvenir store charges 15 pesos per keychain for orders amounting to 50 or fewer keychains, 12.50 pesos per keychain for orders of 75 or fewer but more than 50 keychains, and 10 pesos per keychain for orders of more than 75 keychains. Which function best represents the cost K(x) of the x number of keychains?",images/quizzes/GMathQSH001_08_opC.PNG,images/quizzes/GMathQSH001_08_opB.PNG,images/quizzes/GMathQSH001_08_opD.PNG,images/quizzes/GMathQSH001_08_opA.PNG,images/quizzes/GMathQSH001_08_opB.PNG,0,Difficult
9,General Mathematics,Senior (Grade 11-12),The base jeepney fare is eight pesos for the first four kilometers and an additional 1.50 pesos per kilometer for the succeeding kilometers. Express the fare for x kilometers as a function of x. Select the correct answer.,images/quizzes/GMathQSH001_09_opA.PNG,images/quizzes/GMathQSH001_09_opB.PNG,images/quizzes/GMathQSH001_09_opC.PNG,images/quizzes/GMathQSH001_09_opD.PNG,images/quizzes/GMathQSH001_09_opD.PNG,0,Difficult
10,General Mathematics,Senior (Grade 11-12),"The tax payer should pay 6% of his total income if his income amounts to 500,000 pesos or below. If his income is between 500,000 pesos to 1,000,000 pesos, the taxpayer should pay 8% of the total income. If the income is 1,000,000 pesos or more, should pay 9.5% of the total income. Express tax as a function of x for any x pesos income. ",images/quizzes/GMathQSH001_10_opD.PNG,images/quizzes/GMathQSH001_10_opB.PNG,images/quizzes/GMathQSH001_10_opA.PNG,images/quizzes/GMathQSH001_10_opC.PNG,images/quizzes/GMathQSH001_10_opA.PNG,0,Difficult
11,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH002_01.png,69,13,72,21,21,0,Difficult
12,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH002_02.png,18,42,-90,-30,-30,0,Difficult
13,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH002_03.png,x^4 - 2x^3 - 3x^2 + 4x - 5, -x^4 + 2x^3 + 3x^2 - 4x - 5,x^4 + 2x^3 - 3x^2 - 4x - 5,x^4 + 2x^3 - 3x^2 + 4x - 5,x^4 + 2x^3 - 3x^2 - 4x - 5,0,Difficult
14,General Mathematics,Senior (Grade 11-12),"A projectile is shot straight upward 5 m from the ground with an initial velocity of 35 m/s. The height of the projectile, s, in meters, after t seconds, is s(t) = 5 + 35t - 9.8t^2. Calculate the height of the projectile after 3.5 seconds.",6.55 m,6.25 m,7.45 m,5.35 m,7.45 m,1,Difficult
15,General Mathematics,Senior (Grade 11-12),"The electric current, in amperes, that passes through a circuit at a fixed voltage of 220 volts can be described by the function I(R) = 220/R where R is the resistance of the circuit in ohms. How much current passes through a circuit with the resistance of 10 ohms?",2200 amperes,220 amperes,22 amperes,2.2 amperes,22 amperes,1,Difficult
16,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH002_06.png,"1) A, 2) B, 3) C, 4) D, 5) E","1) B, 2) C, 3) A, 4) E, 5) D","1) C, 2) B, 3) A, 4) E, 5) D","1) D, 2) C, 3) A, 4) E, 5) B","1) C, 2) B, 3) A, 4) E, 5) D",0,Difficult
17,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH002_07.png,"1) D, 2) E, 3) C, 4) A, 5) B","1) B, 2) A, 3) D, 4) C, 5) E",,"1) C, 2) E, 3) D, 4) B, 5) A","1) C, 2) E, 3) D, 4) B, 5) A",0,Difficult
18,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH002_08.png,"1) D, 2) A, 3) E, 4) C, 5) B","1) B, 2) A, 3) D, 4) C, 5) E","1) D, 2) E, 3) C, 4) A, 5) B",,"1) D, 2) A, 3) E, 4) C, 5) B",0,Difficult
19,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH002_09.png,images/quizzes/GMathQSH002_09_opD.PNG,images/quizzes/GMathQSH002_09_opB.PNG,images/quizzes/GMathQSH002_09_opA.PNG,images/quizzes/GMathQSH002_09_opC.PNG,images/quizzes/GMathQSH002_09_opA.PNG,0,Average
20,General Mathematics,Senior (Grade 11-12),"In evaluating functions, the input is the value of the dependent variable while output is/are the value/s of the independent variable.",MAYBE,FALSE,Cannot be determined,TRUE,FALSE,0,Average
21,General Mathematics,Senior (Grade 11-12),The functions f and g are defined as f(x) = x - 3 and g(x) = x^2 + 2. Which of the following defines f + g?,x^2 + x + 1,x^2 - x + 5, -x^2 + x - 5,x^2 + x - 1,x^2 + x - 1,1,Average
22,General Mathematics,Senior (Grade 11-12),The functions f and g are defined as f(x) = x^2 + 2x - 3 and g(x) = x^2 + 3. Which of the following defines f - g?,2x,2x - 6,x^2 - 6,x^2 + 2x,2x - 6,1,Average
23,General Mathematics,Senior (Grade 11-12),The functions f and g are defined as f(x) = x - 2 and g(x) = x + 2. Which of the following defines f · g?,x^2 - 2x,x^2 - 4,x - 4,x^2,x^2 - 4,1,Average
24,General Mathematics,Senior (Grade 11-12),The functions f and g are defined as f(x) = x^2 + x - 12 and g(x) = x + 4. Which of the following defines f / g?,x - 3,x + 3,x + 4,x - 4,x - 3,1,Average
25,General Mathematics,Senior (Grade 11-12),The functions f and g are defined as f(x) = √(x+2) and g(x) = x^2 - 1. Which of the following defines f of g?,x^2 + 1,x^2 - 1,x + 1,x - 1,x + 1,1,Average
26,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH003_06.png,"1) E, 2) D, 3) A, 4) B, 5) C","1) A, 2) B, 3) E, 4) D, 5) C","1) B, 2) D, 3) E, 4) A, 5) C","1) A, 2) D, 3) E, 4) B, 5) C","1) A, 2) D, 3) E, 4) B, 5) C",0,Difficult
27,General Mathematics,Senior (Grade 11-12),images/quizzes/GMathQSH003_07.png,"1) B, 2) D, 3) E, 4) C, 5) A","1) B, 2) C, 3) E, 4) D, 5) A","1) D, 2) B, 3) E, 4) C, 5) A","1) A, 2) D, 3) E, 4) B, 5) C","1) B, 2) D, 3) E, 4) C, 5) A",0,Difficult
28,General Mathematics,Senior (Grade 11-12),The functions f and g are defined as f(x) = x + 1 and g(x) = (x - 1)/2. Match the first column with the result of performing operation of functions.,"1) B, 2) C, 3) E, 4) D, 5) A","1) B, 2) A, 3) D, 4) C, 5) E","1) D, 2) A, 3) E, 4) C, 5) B","1) D, 2) E, 3) C, 4) A, 5) B","1) D, 2) A, 3) E, 4) C, 5) B",0,Difficult
29,General Mathematics,Senior (Grade 11-12),"If the functions f and g are defined as f(x) = √x + 1 and g(x) = x2 - 1, then which of the following has the definition x + 2√x?",g(f(x)),f(g(x)),f(x) / g(x),f(x) · g(x),g(f(x)),1,Average
30,General Mathematics,Senior (Grade 11-12),"Which of the following statements is always true about the operation of functions? I. f(x) + g(x) = g(x) + f(x), II. f(g(x)) = g(f(x)), III. f(x) - g(x) = g(x) - f(x)",I only,II only,III only,None of the statements are true.,I only,1,Average
31,General Mathematics,Senior (Grade 11-12),A projectile is fired directly upward with an initial velocity of 350 feet per second. Its heights is a function of time given by h(t) = - 16t^2 + 350t. Calculate the height after 3.25 seconds.,1087.5 feet,968.5 feet,906 feet,1029 feet,968.5 feet,1,Average
32,General Mathematics,Senior (Grade 11-12),"The evacuation authorities figured out that the cost in PHP per day per evacuee is a function, C(n) = 0.02n^2 - 4n + 500, where n is the number of evacuees. What is the minimum cost per day per evacuee?",PHP 300,PHP 200,PHP 500,PHP 100,PHP 300,1,Average
33,General Mathematics,Senior (Grade 11-12),"A tailor can make pants at a cost of 400 pesos each. If the tailor sells the pants for x pesos each, it is estimated that 1000 - 10x pants will be sold per week. Calculate the maximum weekly profit of the tailor.","PHP 18,000","PHP 16,000","PHP 14,000","PHP 12,000","PHP 18,000",1,Average
34,General Mathematics,Senior (Grade 11-12),"A startup company modelled its profit as P(t) = 10000t^2 + 500t - 100, where t is the time in years. What is the company's profit after 10 years?","PHP 1,049,000","PHP 1,409,000","PHP 1,004,900","PHP 10,049,000","PHP 1,004,900",1,Difficult
35,General Mathematics,Senior (Grade 11-12),The student population of an elementary school grows as a linear function P(t) = 250t + 1500 where t is the number of years after 2005. What is the school population in 2011?,3000,2750,3250,2500,3000,1,Difficult
36,General Mathematics,Senior (Grade 11-12),Charles wishes to make open box from a square piece of cardboard with a side that measures 12 inches by cutting equal squares from the four corners and folding the sides. What will be the volume of the box if he cuts a square with 2 inch sides?,144 in^3,200 in^3,256 in^3,288 in^3,200 in^3,1,Difficult
37,General Mathematics,Senior (Grade 11-12),"The amount of bacteria present in a petri dish is given by the function f(t) = 50,000t^3 + 20,000t^2 + 10,000 where t is the number of minutes after 12 noon. What is the population of bacteria at 12:07 pm?",38080000,18140000,11530000,26890000,18140000,1,Difficult
