id,category,year_level,question,question_image,choice_a,choice_a_image,choice_b,choice_b_image,choice_c,choice_c_image,choice_d,choice_d_image,correct_answer,is_active,difficulty_level,has_images
21.0,Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x - 3 and g(x) = x^2 + 2. Which of the following defines f + g?,,x^2 + x + 1,,x^2 - x + 5,,-x^2 + x - 5,,x^2 + x - 1,,x^2 + x - 1,1,Easy,0
22.0,Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x^2 + 2x - 3 and g(x) = x^2 + 3. Which of the following defines f - g?,,2x,,2x - 6,,x^2 - 6,,x^2 + 2x,,2x - 6,1,Easy,0
23.0,Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x - 2 and g(x) = x + 2. Which of the following defines f � g?,,x^2 - 2x,,x^2 - 4,,x - 4,,x^2,,x^2 - 4,1,Easy,0
24.0,Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x^2 + x - 12 and g(x) = x + 4. Which of the following defines f / g?,,x - 3,,x + 3,,x + 4,,x - 4,,x - 3,1,Easy,0
25.0,Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = ?(x+2) and g(x) = x^2 - 1. Which of the following defines f of g?,,x^2 + 1,,x^2 - 1,,x + 1,,x - 1,,x + 1,1,Easy,0
29.0,Math,Senior (Grade 11-12),"If the functions f and g are defined as f(x) = ?x + 1 and g(x) = x2 - 1, then which of the following has the definition x + 2?x?",,g(f(x)),,f(g(x)),,f(x) / g(x),,f(x) � g(x),,g(f(x)),1,Easy,0
7.0,Math,Senior (Grade 11-12),"The base salary of a worker is 62 pesos per hour for the first eight hours. If the worker works overtime, the additional salary is 150% of the base pay per hour. Which of the following shows the function of the worker's salary if he works x hours per day?",,,images/quizzes/GMathQSH001_07_opD.png,,images/quizzes/GMathQSH001_07_opB.png,,images/quizzes/GMathQSH001_07_opA.png,,images/quizzes/GMathQSH001_07_opC.png,images/quizzes/GMathQSH001_07_opA.png,0,Difficult,1
8.0,Math,Senior (Grade 11-12),"A souvenir store charges 15 pesos per keychain for orders amounting to 50 or fewer keychains, 12.50 pesos per keychain for orders of 75 or fewer but more than 50 keychains, and 10 pesos per keychain for orders of more than 75 keychains. Which function best represents the cost K(x) of the x number of keychains?",,,images/quizzes/GMathQSH001_08_opC.PNG,,images/quizzes/GMathQSH001_08_opB.PNG,,images/quizzes/GMathQSH001_08_opD.PNG,,images/quizzes/GMathQSH001_08_opA.PNG,images/quizzes/GMathQSH001_08_opB.PNG,0,Difficult,1
9.0,Math,Senior (Grade 11-12),The base jeepney fare is eight pesos for the first four kilometers and an additional 1.50 pesos per kilometer for the succeeding kilometers. Express the fare for x kilometers as a function of x. Select the correct answer.,,,images/quizzes/GMathQSH001_09_opA.PNG,,images/quizzes/GMathQSH001_09_opB.PNG,,images/quizzes/GMathQSH001_09_opC.PNG,,images/quizzes/GMathQSH001_09_opD.PNG,images/quizzes/GMathQSH001_09_opD.PNG,0,Difficult,1
10.0,Math,Senior (Grade 11-12),"The tax payer should pay 6% of his total income if his income amounts to 500,000 pesos or below. If his income is between 500,000 pesos to 1,000,000 pesos, the taxpayer should pay 8% of the total income. If the income is 1,000,000 pesos or more, should pay 9.5% of the total income. Express tax as a function of x for any x pesos income.",,,images/quizzes/GMathQSH001_10_opD.PNG,,images/quizzes/GMathQSH001_10_opB.PNG,,images/quizzes/GMathQSH001_10_opA.PNG,,images/quizzes/GMathQSH001_10_opC.PNG,images/quizzes/GMathQSH001_10_opA.PNG,0,Difficult,1
11.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH002_01.png,69,,13,,72,,21,,21,0,Difficult,1
12.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH002_02.png,18,,42,,-90,,-30,,-30,0,Difficult,1
13.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH002_03.png,x^4 - 2x^3 - 3x^2 + 4x - 5,,-x^4 + 2x^3 + 3x^2 - 4x - 5,,x^4 + 2x^3 - 3x^2 - 4x - 5,,x^4 + 2x^3 - 3x^2 + 4x - 5,,x^4 + 2x^3 - 3x^2 - 4x - 5,0,Difficult,1
30.0,Math,Senior (Grade 11-12),"Which of the following statements is always true about the operation of functions? I. f(x) + g(x) = g(x) + f(x), II. f(g(x)) = g(f(x)), III. f(x) - g(x) = g(x) - f(x)",,I only,,II only,,III only,,None of the statements are true.,,I only,1,Easy,0
31.0,Math,Senior (Grade 11-12),A projectile is fired directly upward with an initial velocity of 350 feet per second. Its heights is a function of time given by h(t) = - 16t^2 + 350t. Calculate the height after 3.25 seconds.,,1087.5 feet,,968.5 feet,,906 feet,,1029 feet,,968.5 feet,1,Easy,0
16.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH002_06.png,"1) A, 2) B, 3) C, 4) D, 5) E",,"1) B, 2) C, 3) A, 4) E, 5) D",,"1) C, 2) B, 3) A, 4) E, 5) D",,"1) D, 2) C, 3) A, 4) E, 5) B",,"1) C, 2) B, 3) A, 4) E, 5) D",0,Difficult,1
17.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH002_07.png,"1) D, 2) E, 3) C, 4) A, 5) B",,"1) B, 2) A, 3) D, 4) C, 5) E",,,,"1) C, 2) E, 3) D, 4) B, 5) A",,"1) C, 2) E, 3) D, 4) B, 5) A",0,Difficult,1
